                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.4473,                 1.1633,                 1.1842,                0.31148,                0.20184,                0.17509,                0.08634,                 2.2636,                 2.2982,                 1.8365,             0.00058285,             0.00058285,             0.00058285
                     93,                 1.4536,                 1.1569,                  1.177,                0.51292,                0.20704,                0.18785,                0.09534,                 2.2962,                  2.236,                 1.8717,              0.0005801,              0.0005801,              0.0005801
                     94,                  1.493,                 1.2007,                 1.2186,                0.35965,                0.23716,                0.17888,                0.08103,                 2.3224,                 2.3539,                 1.8268,             0.00057735,             0.00057735,             0.00057735
                     95,                 1.4504,                 1.1265,                 1.1683,                0.47693,                0.19621,                0.17866,                0.08661,                 2.3285,                 2.3436,                 1.8314,              0.0005746,              0.0005746,              0.0005746
                     96,                 1.4487,                 1.1699,                 1.1803,                 0.2285,                0.20467,                0.18625,                0.08637,                 2.3677,                  2.214,                 1.8859,             0.00057185,             0.00057185,             0.00057185
                     97,                 1.4406,                 1.1375,                  1.174,                0.28633,                0.19586,                0.18424,                0.08886,                 2.2859,                 2.2799,                 1.8777,             0.00056911,             0.00056911,             0.00056911
                     98,                 1.4406,                 1.1103,                 1.1758,                0.24294,                 0.2282,                 0.2049,                0.09382,                 2.2768,                 2.0637,                 1.8481,             0.00056636,             0.00056636,             0.00056636
                     99,                 1.4711,                 1.1442,                 1.1836,                0.46637,                0.21094,                0.18562,                0.08046,                  2.311,                 2.1616,                 1.8173,             0.00056361,             0.00056361,             0.00056361
                    100,                 1.4045,                 1.0871,                 1.1503,                0.54977,                0.16615,                 0.1817,                0.08628,                 2.3258,                 2.3697,                 1.8259,             0.00056086,             0.00056086,             0.00056086
                    101,                 1.4484,                 1.1223,                 1.1782,                0.36177,                0.21414,                0.18836,                0.09081,                 2.3169,                 2.2306,                 1.8423,             0.00055811,             0.00055811,             0.00055811
                    102,                 1.4104,                 1.0656,                 1.1363,                0.39855,                0.23859,                0.20183,                0.09184,                 2.3543,                 2.3301,                 1.8426,             0.00055536,             0.00055536,             0.00055536
                    103,                 1.3968,                  1.092,                 1.1355,                0.40425,                0.18344,                0.19274,                0.09242,                 2.3387,                 2.3471,                 1.8874,             0.00055261,             0.00055261,             0.00055261
                    104,                 1.3964,                 1.0523,                 1.1489,                0.37915,                0.19337,                0.18864,                0.08774,                 2.2825,                 2.4801,                 1.8466,             0.00054986,             0.00054986,             0.00054986
                    105,                 1.4014,                 1.0587,                 1.1347,                0.40016,                0.18188,                0.18861,                0.08666,                 2.3274,                 2.3975,                 1.8735,             0.00054711,             0.00054711,             0.00054711
                    106,                 1.4285,                 1.0925,                 1.1745,                0.40709,                0.19852,                 0.1956,                0.09166,                 2.3233,                 2.3742,                 1.8496,             0.00054437,             0.00054437,             0.00054437
                    107,                 1.4351,                 1.1074,                 1.1663,                0.38271,                0.21771,                0.19381,                0.09334,                 2.3632,                 2.3636,                 1.8451,             0.00054162,             0.00054162,             0.00054162
                    108,                 1.4277,                 1.0847,                 1.1432,                0.23127,                0.23892,                 0.2013,                0.08683,                  2.357,                 2.2796,                 1.8566,             0.00053887,             0.00053887,             0.00053887
                    109,                  1.396,                 1.0541,                 1.1204,                0.42681,                0.18604,                0.20505,                0.08894,                 2.4122,                 2.2898,                 1.9198,             0.00053612,             0.00053612,             0.00053612
                    110,                 1.3648,                 1.0564,                 1.1248,                0.56432,                0.21381,                0.19558,                0.08556,                 2.3954,                 2.4044,                 1.8978,             0.00053337,             0.00053337,             0.00053337
                    111,                 1.4211,                 1.0905,                 1.1603,                0.39665,                0.26385,                0.19831,                0.08216,                  2.351,                 2.2973,                 1.8681,             0.00053062,             0.00053062,             0.00053062
